nombre,habilidades,contraataque_insecto,contraataque_siniestro,contraataque_dragon,contraataque_electrico,contraataque_hada,contraataque_lucha,contraataque_fuego,contraataque_volador,contraataque_fantasma,contraataque_planta,contraataque_tierra,contraataque_hielo,contraataque_normal,contraataque_veneno,contraataque_psiquico,contraataque_roca,contraataque_acero,contraataque_agua,ataque,total_base,Probabilidad_de_captura,defensa,Puntos_de_salud,No_Pokedex,ataque_especial,defensa_especial,velocidad,tipo1,tipo2
Voltorb,"['Soundproof', 'Static', 'Aftermath']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,30,330,190,50,40,100,55,55,100,electric,No aplica
Electrode,"['Soundproof', 'Static', 'Aftermath']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,490,60,70,60,101,80,80,150,electric,No aplica
Exeggcute,"['Chlorophyll', 'Harvest']",4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,40,325,90,80,60,102,60,45,40,grass,psychic
Exeggutor,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,105,530,45,85,95,103,125,75,45,grass,psychic
Cubone,"['Rock Head', 'Lightningrod', 'Battle Armor']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,320,190,95,50,104,40,50,35,ground,No aplica
Marowak,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,80,425,75,110,60,105,50,80,45,ground,fire
Hitmonlee,"['Limber', 'Reckless', 'Unburden']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,120,455,45,53,50,106,35,110,87,fighting,No aplica
Hitmonchan,"['Keen Eye', 'Iron Fist', 'Inner Focus']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,105,455,45,79,50,107,35,110,76,fighting,No aplica
Lickitung,"['Own Tempo', 'Oblivious', 'Cloud Nine']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,385,45,75,90,108,60,75,30,normal,No aplica
Koffing,['Levitate'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,65,340,190,95,40,109,60,45,35,poison,No aplica
Weezing,['Levitate'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,90,490,60,120,65,110,85,70,60,poison,No aplica
Rhyhorn,"['Lightningrod', 'Rock Head', 'Reckless']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,85,345,120,95,80,111,30,30,25,ground,rock
Rhydon,"['Lightningrod', 'Rock Head', 'Reckless']",1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4,130,485,60,120,105,112,45,45,40,ground,rock
Chansey,"['Natural Cure', 'Serene Grace', 'Healer']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5,450,30,5,250,113,35,105,50,normal,No aplica
Tangela,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,55,435,45,115,65,114,100,40,60,grass,No aplica
Kangaskhan,"['Early Bird', 'Scrappy', 'Inner Focus']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,125,590,45,100,105,115,60,100,100,normal,No aplica
Horsea,"['Swift Swim', 'Sniper', 'Damp']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,40,295,225,70,30,116,70,25,60,water,No aplica
Seadra,"['Poison Point', 'Sniper', 'Damp']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,440,75,95,55,117,95,45,85,water,No aplica
Goldeen,"['Swift Swim', 'Water Veil', 'Lightningrod']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,67,320,225,60,45,118,35,50,63,water,No aplica
Seaking,"['Swift Swim', 'Water Veil', 'Lightningrod']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,92,450,60,65,80,119,65,80,68,water,No aplica
Staryu,"['Illuminate', 'Natural Cure', 'Analytic']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,45,340,225,55,30,120,70,55,85,water,No aplica
Starmie,"['Illuminate', 'Natural Cure', 'Analytic']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,520,60,85,60,121,100,85,115,water,psychic
Mr. Mime,"['Soundproof', 'Filter', 'Technician']",1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,45,460,45,65,40,122,100,120,90,psychic,fairy
Scyther,"['Swarm', 'Technician', 'Steadfast']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,110,500,45,80,70,123,55,80,105,bug,flying
Jynx,"['Oblivious', 'Forewarn', 'Dry Skin']",2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,50,455,45,35,65,124,115,95,95,ice,psychic
Electabuzz,"['Static', 'Vital Spirit']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,83,490,45,57,65,125,95,85,105,electric,No aplica
Magmar,"['Flame Body', 'Vital Spirit']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,95,495,45,57,65,126,100,85,93,fire,No aplica
Pinsir,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,155,600,45,120,65,127,65,90,105,bug,No aplica
Tauros,"['Intimidate', 'Anger Point', 'Sheer Force']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,100,490,45,95,75,128,40,70,110,normal,No aplica
Magikarp,"['Swift Swim', 'Rattled']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,10,200,255,55,20,129,15,20,80,water,No aplica
Gyarados,"['Intimidate', 'Moxie']",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,155,640,45,109,95,130,70,130,81,water,flying
Lapras,"['Water Absorb', 'Shell Armor', 'Hydration']",1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5,85,535,45,80,130,131,85,95,60,water,ice
Ditto,"['Limber', 'Imposter']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,48,288,35,48,48,132,48,48,48,normal,No aplica
Eevee,"['Run Away', 'Adaptability', 'Anticipation']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,55,325,45,50,55,133,45,65,55,normal,No aplica
Vaporeon,"['Water Absorb', 'Hydration']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,525,45,60,130,134,110,95,65,water,No aplica
Jolteon,"['Volt Absorb', 'Quick Feet']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,65,525,45,60,65,135,110,95,130,electric,No aplica
